Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1820;AJI;"Obeng Tembus Bison + 4"" Merah";LUSIN;160.000;0 %;160.000;15.000;0 %;15.000;;
RJ1818;AJI;Obeng Tespen Bb Jumbo Vegas;1pcs;7.000;0 %;7.000;10.000;0 %;10.000;;
RJ1291;Aji;"Overval Gembok Plat Rush 2""";Pcs;16.500;0 %;16.500;2.000;0 %;2.000;;
RJ1292;Aji;Overval Lat Rush 2,5;Pcs;17.500;0 %;17.500;2.500;0 %;2.500;;
RJ1293;Aji;"Overval Plat Rush 3""";Pcs;22.000;0 %;22.000;3.000;0 %;3.000;;
RJ1361;AJI;Paku Pines /payung Box;PCS;8.500;0 %;8.500;10.000;0 %;10.000;;
RJ1220;AJI;Paku Rivet Ap 440;Pak;70.000;0 %;70.000;75.000;0 %;75.000;;
RJ1221;AJI;Paku Rivet Ap 540;Pak;90.000;0 %;90.000;100.000;0 %;100.000;;
RJ1223;AJI;"Paku Seng ERDOS Ulir 2,5""";Pak;220.000;0 %;220.000;250.000;0 %;250.000;;
RJ1224;AJI;Paku Seng Ulir 3x9 KG MDN;Pak;220.000;0 %;220.000;250.000;0 %;250.000;;
RJ1222;AJI;"Paku Sng ERDOS 2""";Pak;220.000;0 %;220.000;250.000;0 %;250.000;;
RJ1167;AJI;Palu Bodem ;PCS;62.500;0 %;62.500;65.000;0 %;65.000;;
RJ1166;AJI;Palu Kambing usa Wolk 0,8;PCS;255.000;0 %;255.000;30.000;0 %;30.000;;
RJ1806;AJI;RAK SABUN STAINLES 403;1pcs;80.000;0 %;80.000;85.000;0 %;85.000;;
RJ1805;AJI;RAK SABUN STAINLES FLO;1pcs;50.000;0 %;50.000;55.000;0 %;55.000;;
RJ1807;AJI;RAK SABUN STAINLES UNGU ;1pcs;85.000;0 %;85.000;90.000;0 %;90.000;;
RJ1753;AJI;"Raskam/sugu Pvc Papak ""CD""putih";LUSIN;55.000;0 %;55.000;7.500;0 %;7.500;;
RJ1215;AJI;"Roda Karet 3"" Mati";PCS;17.500;0 %;17.500;20.000;0 %;20.000;;
RJ1527;AJI;Rotari Springker Diva/taman;1pcs;70.000;0 %;70.000;70.000;0 %;70.000;;
RJ1484;AJI;Saklar Boor;PCS;12.000;0 %;12.000;20.000;0 %;20.000;;
RJ1485;AJI;Saklar Planner  ;PCS;8.000;0 %;8.000;10.000;0 %;10.000;;
RJ1364;AJI;"Sekrap Gg Kayu 3""";PCS;4.000;0 %;4.000;7.500;0 %;7.500;;
RJ1363;AJI;Sekrap Gg Kayu Hdt 21/2;PCS;3.000;0 %;3.000;7.500;0 %;7.500;;
RJ1362;Aji;"Sekrap Gg Kayu Hdt/owner 2""";PCS;3.000;0 %;3.000;7.500;0 %;7.500;;
RJ1778;AJI;"Sekrup Gipsum 1""";Pak;40.000;0 %;40.000;45.000;0 %;45.000;;
RJ1231;AJI;"Sekrup Gipsum Ysk 2""(1kg)";Pak;32.500;0 %;32.500;32.500;0 %;32.500;;
RJ1228;AJI;"Sekrup Gypsum Tokio 1""(9ons)";Pak;32.500;0 %;32.500;35.000;0 %;35.000;;
RJ1230;AJI;"Sekrup Gypsum Tokio 11/2""(9ons)";Pak;32.500;0 %;32.500;35.000;0 %;35.000;;
RJ1229;AJI;"Sekrup Gypsum Tokio 11/4""(9ons)";Pak;32.500;0 %;32.500;35.000;0 %;35.000;;
RJ1282;AJI;"Siku Tukang 12""ysk";1pcs;100.000;0 %;100.000;10.000;0 %;10.000;;
RJ1283;AJI;"Siku Tukang Jumbo Tebal Ysk/viper 12""";1pcs;175.000;0 %;175.000;15.000;0 %;15.000;;
RJ1226;AJI;Skrup CWH 5/8x5(+);PCS;7.500;0 %;7.500;8.500;0 %;8.500;;
RJ1842;AJI;Skrup Gypsun 6x1 Ozill;Pak;15.000;0 %;15.000;20.000;0 %;20.000;;
RJ1298;Aji;Slot Besar + Body Merk Hongsu kotak Sn/cp;;117.500;0 %;117.500;125.000;0 %;125.000;;
